ROW,PROJECT,DATE (DD-MMM-YYYY),DAY,MONTH,YEAR,SITE,REP,NO3N(mg/L)
1,LTREB,3/9/2020,9,3,2020,Blank ,a,0.000
2,LTREB,3/9/2020,9,3,2020,1,a,0.023
3,LTREB,3/9/2020,9,3,2020,1,b,0.022
4,LTREB,3/9/2020,9,3,2020,1,c,0.022
5,LTREB,3/9/2020,9,3,2020,2,a,0.018
6,LTREB,3/9/2020,9,3,2020,2,b,0.013
7,LTREB,3/9/2020,9,3,2020,2,c,0.017
8,LTREB,3/9/2020,9,3,2020,3,a,0.120
9,LTREB,3/9/2020,9,3,2020,3,b,0.129
10,LTREB,3/9/2020,9,3,2020,3,c,0.125
11,LTREB,3/9/2020,9,3,2020,4,a,0.113
12,LTREB,3/9/2020,9,3,2020,4,b,0.126
13,LTREB,3/9/2020,9,3,2020,4,c,0.121
14,LTREB,3/9/2020,9,3,2020,5,a,0.136
15,LTREB,3/9/2020,9,3,2020,5,b,0.142
16,LTREB,3/9/2020,9,3,2020,5,c,0.136
17,LTREB,3/9/2020,9,3,2020,6,a,0.163
18,LTREB,3/9/2020,9,3,2020,6,b,0.167
19,LTREB,3/9/2020,9,3,2020,6,c,0.180
20,LTREB,3/9/2020,9,3,2020,7,a,0.101
21,LTREB,3/9/2020,9,3,2020,7,b,0.128
22,LTREB,3/9/2020,9,3,2020,7,c,0.137
23,LTREB,3/9/2020,9,3,2020,8,a,0.085
24,LTREB,3/9/2020,9,3,2020,8,b,0.111
25,LTREB,3/9/2020,9,3,2020,8,c,0.107
26,LTREB,3/9/2020,9,3,2020,8a,a,0.011
27,LTREB,3/9/2020,9,3,2020,8a,b,0.010
28,LTREB,3/9/2020,9,3,2020,8a,c,0.010
29,LTREB,3/9/2020,9,3,2020,9,a,0.041
30,LTREB,3/9/2020,9,3,2020,9,b,0.047
31,LTREB,3/9/2020,9,3,2020,9,c,0.043
32,LTREB,3/9/2020,9,3,2020,9am,a,0.064
33,LTREB,3/9/2020,9,3,2020,9am,b,0.069
34,LTREB,3/9/2020,9,3,2020,9am,c,0.062
35,LTREB,3/9/2020,9,3,2020,10,a,0.041
36,LTREB,3/9/2020,9,3,2020,10,b,0.041
