ROW,PROJECT,DATE (DD-MMM-YYYY),DAY,MONTH,YEAR,SITE,REP,NH4N(mg/L),SRP(mg/L)
1,LTREB,5/20/2020,20,5,2020,Blank ,a,0.004,0.002
2,LTREB,5/20/2020,20,5,2020,1,a,0.005,0.007
3,LTREB,5/20/2020,20,5,2020,1,b,0.005,0.005
4,LTREB,5/20/2020,20,5,2020,1,c,0.005,0.006
5,LTREB,5/20/2020,20,5,2020,2,a,0.006,0.007
6,LTREB,5/20/2020,20,5,2020,2,b,0.008,0.007
7,LTREB,5/20/2020,20,5,2020,2,c,0.007,0.008
8,LTREB,5/20/2020,20,5,2020,3,a,0.004,0.008
9,LTREB,5/20/2020,20,5,2020,3,b,0.011,0.014
10,LTREB,5/20/2020,20,5,2020,3,c,0.015,0.015
11,LTREB,5/20/2020,20,5,2020,4,a,0.008,0.010
12,LTREB,5/20/2020,20,5,2020,4,b,0.009,0.012
13,LTREB,5/20/2020,20,5,2020,4,c,0.011,0.015
14,LTREB,5/20/2020,20,5,2020,5,a,0.007,0.010
15,LTREB,5/20/2020,20,5,2020,5,b,0.008,0.011
16,LTREB,5/20/2020,20,5,2020,5,c,0.007,0.010
17,LTREB,5/20/2020,20,5,2020,6,a,0.007,0.010
18,LTREB,5/20/2020,20,5,2020,6,b,0.007,0.010
19,LTREB,5/20/2020,20,5,2020,6,c,0.004,0.008
20,LTREB,5/20/2020,20,5,2020,7,a,0.005,0.014
21,LTREB,5/20/2020,20,5,2020,7,b,0.005,0.012
22,LTREB,5/20/2020,20,5,2020,7,c,0.008,0.015
23,LTREB,5/20/2020,20,5,2020,8,a,0.008,0.015
24,LTREB,5/20/2020,20,5,2020,8,b,0.016,0.023
25,LTREB,5/20/2020,20,5,2020,8,c,0.010,0.017
26,LTREB,5/20/2020,20,5,2020,8a,a,0.005,0.017
27,LTREB,5/20/2020,20,5,2020,8a,b,0.003,0.014
28,LTREB,5/20/2020,20,5,2020,8a,c,0.005,0.017
29,LTREB,5/20/2020,20,5,2020,9,a,0.004,0.012
30,LTREB,5/20/2020,20,5,2020,9,b,0.005,0.012
31,LTREB,5/20/2020,20,5,2020,9,c,0.005,0.014
32,LTREB,5/20/2020,20,5,2020,9am,a,0.005,0.030
33,LTREB,5/20/2020,20,5,2020,9am,b,0.005,0.024
34,LTREB,5/20/2020,20,5,2020,9am,c,0.005,0.021
35,LTREB,5/20/2020,20,5,2020,10,a,0.005,0.017
36,LTREB,5/20/2020,20,5,2020,10,b,0.008,0.021
37,LTREB,5/20/2020,20,5,2020,10,c,0.008,0.016
38,LTREB,5/20/2020,20,5,2020,11,a,0.006,0.017
39,LTREB,5/20/2020,20,5,2020,11,b,0.008,0.020
40,LTREB,5/20/2020,20,5,2020,11,c,0.011,0.018
41,LTREB,5/20/2020,20,5,2020,11af,a,0.001,0.006
42,LTREB,5/20/2020,20,5,2020,11af,b,0.001,0.014
43,LTREB,5/20/2020,20,5,2020,11af,c,0.002,0.021
44,LTREB,5/20/2020,20,5,2020,12,a,0.005,0.020
45,LTREB,5/20/2020,20,5,2020,12,b,0.011,0.020
46,LTREB,5/20/2020,20,5,2020,12,c,0.012,0.023
47,LTREB,5/20/2020,20,5,2020,13,a,0.005,0.014
48,LTREB,5/20/2020,20,5,2020,13,b,0.003,0.010
49,LTREB,5/20/2020,20,5,2020,13,c,0.005,0.009
50,LTREB,6/8/2020,8,6,2020,Blank ,a,0.001,0.003
51,LTREB,6/8/2020,8,6,2020,1,a,0.005,0.029
52,LTREB,6/8/2020,8,6,2020,1,b,0.005,0.025
53,LTREB,6/8/2020,8,6,2020,1,c,0.006,0.021
54,LTREB,6/8/2020,8,6,2020,2,a,0.006,0.030
55,LTREB,6/8/2020,8,6,2020,2,b,0.007,0.018
56,LTREB,6/8/2020,8,6,2020,2,c,0.007,0.033
57,LTREB,6/8/2020,8,6,2020,3,a,0.006,0.031
58,LTREB,6/8/2020,8,6,2020,3,b,0.008,0.028
59,LTREB,6/8/2020,8,6,2020,3,c,0.006,0.020
60,LTREB,6/8/2020,8,6,2020,4,a,0.007,0.020
61,LTREB,6/8/2020,8,6,2020,4,b,0.011,0.030
62,LTREB,6/8/2020,8,6,2020,4,c,0.008,0.027
63,LTREB,6/8/2020,8,6,2020,5,a,0.008,0.028
64,LTREB,6/8/2020,8,6,2020,5,b,0.008,0.025
65,LTREB,6/8/2020,8,6,2020,5,c,0.010,0.021
66,LTREB,6/8/2020,8,6,2020,6,a,0.009,0.028
67,LTREB,6/8/2020,8,6,2020,6,b,0.011,0.023
68,LTREB,6/8/2020,8,6,2020,6,c,0.011,0.022
69,LTREB,6/8/2020,8,6,2020,7,a,0.008,0.037
70,LTREB,6/8/2020,8,6,2020,7,b,0.008,0.029
71,LTREB,6/8/2020,8,6,2020,7,c,0.008,0.032
72,LTREB,6/8/2020,8,6,2020,8,a,0.007,0.029
73,LTREB,6/8/2020,8,6,2020,8,b,0.013,0.043
74,LTREB,6/8/2020,8,6,2020,8,c,0.009,0.028
75,LTREB,6/8/2020,8,6,2020,8a,a,0.002,0.028
76,LTREB,6/8/2020,8,6,2020,8a,b,0.001,0.023
77,LTREB,6/8/2020,8,6,2020,8a,c,0.002,0.030
78,LTREB,6/8/2020,8,6,2020,9,a,0.006,0.031
79,LTREB,6/8/2020,8,6,2020,9,b,0.007,0.030
80,LTREB,6/8/2020,8,6,2020,9,c,0.009,0.029
81,LTREB,6/8/2020,8,6,2020,9am,a,0.005,0.030
82,LTREB,6/8/2020,8,6,2020,9am,b,0.008,0.029
83,LTREB,6/8/2020,8,6,2020,9am,c,0.009,0.039
84,LTREB,6/8/2020,8,6,2020,10,a,0.007,0.033
85,LTREB,6/8/2020,8,6,2020,10,b,0.006,0.021
86,LTREB,6/8/2020,8,6,2020,10,c,0.008,0.038
87,LTREB,6/8/2020,8,6,2020,11,a,0.002,0.025
88,LTREB,6/8/2020,8,6,2020,11,b,0.008,0.029
89,LTREB,6/8/2020,8,6,2020,11,c,0.003,0.022
90,LTREB,6/8/2020,8,6,2020,11af,a,0.003,0.011
91,LTREB,6/8/2020,8,6,2020,11af,b,0.002,0.015
92,LTREB,6/8/2020,8,6,2020,11af,c,0.001,0.012
93,LTREB,6/8/2020,8,6,2020,12,a,0.001,0.013
94,LTREB,6/8/2020,8,6,2020,12,b,0.002,0.010
95,LTREB,6/8/2020,8,6,2020,12,c,0.005,0.011
96,LTREB,6/8/2020,8,6,2020,13,a,0.001,0.018
97,LTREB,6/8/2020,8,6,2020,13,b,0.002,0.020
98,LTREB,6/8/2020,8,6,2020,13,c,0.001,0.010
99,LTREB,6/22/2020,22,6,2020,Blank ,a,0.003,0.004
100,LTREB,6/22/2020,22,6,2020,1,a,0.008,0.013
101,LTREB,6/22/2020,22,6,2020,1,b,0.003,0.012
102,LTREB,6/22/2020,22,6,2020,1,c,0.002,0.012
103,LTREB,6/22/2020,22,6,2020,2,a,0.002,0.012
104,LTREB,6/22/2020,22,6,2020,2,b,0.003,0.016
105,LTREB,6/22/2020,22,6,2020,2,c,0.004,0.013
106,LTREB,6/22/2020,22,6,2020,3,a,0.002,0.008
107,LTREB,6/22/2020,22,6,2020,3,b,0.002,0.011
108,LTREB,6/22/2020,22,6,2020,3,c,0.003,0.008
109,LTREB,6/22/2020,22,6,2020,4,a,0.004,0.020
110,LTREB,6/22/2020,22,6,2020,4,b,0.005,0.016
111,LTREB,6/22/2020,22,6,2020,4,c,0.003,0.010
112,LTREB,6/22/2020,22,6,2020,5,a,0.003,0.011
113,LTREB,6/22/2020,22,6,2020,5,b,0.002,0.009
114,LTREB,6/22/2020,22,6,2020,5,c,0.002,0.013
115,LTREB,6/22/2020,22,6,2020,6,a,0.001,0.008
116,LTREB,6/22/2020,22,6,2020,6,b,0.004,0.011
117,LTREB,6/22/2020,22,6,2020,6,c,0.003,0.011
118,LTREB,6/22/2020,22,6,2020,7,a,0.002,0.015
119,LTREB,6/22/2020,22,6,2020,7,b,0.003,0.020
120,LTREB,6/22/2020,22,6,2020,7,c,0.004,0.024
121,LTREB,6/22/2020,22,6,2020,8,a,0.003,0.016
122,LTREB,6/22/2020,22,6,2020,8,b,0.003,0.019
123,LTREB,6/22/2020,22,6,2020,8,c,0.004,0.015
124,LTREB,6/22/2020,22,6,2020,8a,a,0.002,0.014
125,LTREB,6/22/2020,22,6,2020,8a,b,0.002,0.012
126,LTREB,6/22/2020,22,6,2020,8a,c,0.002,0.015
127,LTREB,6/22/2020,22,6,2020,9,a,0.006,0.018
128,LTREB,6/22/2020,22,6,2020,9,b,0.001,0.012
129,LTREB,6/22/2020,22,6,2020,9,c,0.001,0.018
130,LTREB,6/22/2020,22,6,2020,9am,a,0.004,0.020
131,LTREB,6/22/2020,22,6,2020,9am,b,0.003,0.014
132,LTREB,6/22/2020,22,6,2020,9am,c,0.004,0.018
133,LTREB,6/22/2020,22,6,2020,10,a,0.001,0.015
134,LTREB,6/22/2020,22,6,2020,10,b,0.003,0.024
135,LTREB,6/22/2020,22,6,2020,10,c,0.001,0.020
136,LTREB,6/22/2020,22,6,2020,11,a,0.001,0.015
137,LTREB,6/22/2020,22,6,2020,11,b,0.003,0.016
138,LTREB,6/22/2020,22,6,2020,11,c,0.005,0.016
139,LTREB,6/22/2020,22,6,2020,11af,a,0.001,0.011
140,LTREB,6/22/2020,22,6,2020,11af,b,0.001,0.011
141,LTREB,6/22/2020,22,6,2020,11af,c,0.003,0.011
142,LTREB,6/22/2020,22,6,2020,12,a,0.002,0.012
143,LTREB,6/22/2020,22,6,2020,12,b,0.004,0.012
144,LTREB,6/22/2020,22,6,2020,12,c,0.003,0.018
145,LTREB,6/22/2020,22,6,2020,13,a,0.001,0.013
146,LTREB,6/22/2020,22,6,2020,13,b,0.001,0.011
147,LTREB,6/22/2020,22,6,2020,13,c,0.001,0.010
