ROW,PROJECT,DATE (DD-MMM-YYYY),DAY,MONTH,YEAR,SITE,REP,NH4N(mg/L),SRP(mg/L)
1,LTREB,8/31/2020,31,8,2020,Blank,a,0.005,0.002
2,LTREB,8/31/2020,31,8,2020,1,a,0.006,0.009
3,LTREB,8/31/2020,31,8,2020,1,b,0.006,0.006
4,LTREB,8/31/2020,31,8,2020,1,c,0.005,0.007
5,LTREB,8/31/2020,31,8,2020,2,a,0.004,0.006
6,LTREB,8/31/2020,31,8,2020,2,b,0.004,0.010
7,LTREB,8/31/2020,31,8,2020,2,c,0.006,0.009
8,LTREB,8/31/2020,31,8,2020,3,a,0.005,0.005
9,LTREB,8/31/2020,31,8,2020,3,b,0.005,0.005
10,LTREB,8/31/2020,31,8,2020,3,c,0.005,0.006
11,LTREB,8/31/2020,31,8,2020,4,a,0.004,0.004
12,LTREB,8/31/2020,31,8,2020,4,b,0.004,0.005
13,LTREB,8/31/2020,31,8,2020,4,c,0.004,0.005
14,LTREB,8/31/2020,31,8,2020,5,a,0.003,0.004
15,LTREB,8/31/2020,31,8,2020,5,b,0.004,0.004
16,LTREB,8/31/2020,31,8,2020,5,c,0.007,0.004
17,LTREB,8/31/2020,31,8,2020,6,a,0.008,0.003
18,LTREB,8/31/2020,31,8,2020,6,b,0.006,0.003
19,LTREB,8/31/2020,31,8,2020,6,c,0.004,0.002
20,LTREB,8/31/2020,31,8,2020,7,a,0.008,0.006
21,LTREB,8/31/2020,31,8,2020,7,b,0.007,0.006
22,LTREB,8/31/2020,31,8,2020,7,c,0.010,0.006
23,LTREB,8/31/2020,31,8,2020,8,a,0.006,0.005
24,LTREB,8/31/2020,31,8,2020,8,b,0.006,0.005
25,LTREB,8/31/2020,31,8,2020,8,c,0.006,0.005
26,LTREB,8/31/2020,31,8,2020,8ad,a,0.004,0.015
27,LTREB,8/31/2020,31,8,2020,8ad,b,-0.009,0.011
28,LTREB,8/31/2020,31,8,2020,8ad,c,0.005,0.011
29,LTREB,8/31/2020,31,8,2020,9,a,0.006,0.006
30,LTREB,8/31/2020,31,8,2020,9,b,0.003,0.005
31,LTREB,8/31/2020,31,8,2020,9,c,0.001,0.005
32,LTREB,8/31/2020,31,8,2020,9am,a,0.006,0.023
33,LTREB,8/31/2020,31,8,2020,9am,b,0.009,0.026
34,LTREB,8/31/2020,31,8,2020,9am,c,0.009,0.029
35,LTREB,8/31/2020,31,8,2020,10,a,0.005,0.006
36,LTREB,8/31/2020,31,8,2020,10,b,0.001,0.007
37,LTREB,8/31/2020,31,8,2020,10,c,0.003,0.007
38,LTREB,8/31/2020,31,8,2020,11,a,0.003,0.005
39,LTREB,8/31/2020,31,8,2020,11,b,0.001,0.005
40,LTREB,8/31/2020,31,8,2020,11,c,0.003,0.004
41,LTREB,8/31/2020,31,8,2020,11af,a,0.003,0.003
42,LTREB,8/31/2020,31,8,2020,11af,b,0.003,0.004
43,LTREB,8/31/2020,31,8,2020,11af,c,0.003,0.005
44,LTREB,8/31/2020,31,8,2020,12,a,0.003,0.004
45,LTREB,8/31/2020,31,8,2020,12,b,0.003,0.004
46,LTREB,8/31/2020,31,8,2020,12,c,0.004,0.004
47,LTREB,8/31/2020,31,8,2020,13,a,0.001,0.003
48,LTREB,8/31/2020,31,8,2020,13,b,0.004,0.003
49,LTREB,8/31/2020,31,8,2020,13,c,0.005,0.003
50,LTREB,9/14/2020,14,9,2020,Blank,a,0.004,0.001
51,LTREB,9/14/2020,14,9,2020,1,a,0.004,0.005
52,LTREB,9/14/2020,14,9,2020,1,b,0.006,0.006
53,LTREB,9/14/2020,14,9,2020,1,c,0.004,0.005
54,LTREB,9/14/2020,14,9,2020,2,a,0.004,0.007
55,LTREB,9/14/2020,14,9,2020,2,b,0.004,0.006
56,LTREB,9/14/2020,14,9,2020,2,c,-0.005,0.010
57,LTREB,9/14/2020,14,9,2020,3,a,-0.027,0.001
58,LTREB,9/14/2020,14,9,2020,3,b,0.006,0.026
59,LTREB,9/14/2020,14,9,2020,3,c,0.004,-0.000
60,LTREB,9/14/2020,14,9,2020,3,c,0.009,0.005
61,LTREB,9/14/2020,14,9,2020,4,a,0.009,0.005
62,LTREB,9/14/2020,14,9,2020,4,b,0.008,0.005
63,LTREB,9/14/2020,14,9,2020,4,c,0.009,0.005
64,LTREB,9/14/2020,14,9,2020,5,a,0.009,0.005
65,LTREB,9/14/2020,14,9,2020,5,b,0.009,0.005
66,LTREB,9/14/2020,14,9,2020,5,c,0.009,0.005
67,LTREB,9/14/2020,14,9,2020,6,a,0.009,0.004
68,LTREB,9/14/2020,14,9,2020,6,b,0.009,0.005
69,LTREB,9/14/2020,14,9,2020,6,c,0.006,0.005
70,LTREB,9/14/2020,14,9,2020,7,a,0.007,0.007
71,LTREB,9/14/2020,14,9,2020,7,b,0.003,0.004
72,LTREB,9/14/2020,14,9,2020,7,c,0.004,0.004
73,LTREB,9/14/2020,14,9,2020,8,a,0.006,0.004
74,LTREB,9/14/2020,14,9,2020,8,b,0.005,0.004
75,LTREB,9/14/2020,14,9,2020,8,c,0.004,0.004
76,LTREB,9/14/2020,14,9,2020,8ad,a,0.004,0.009
77,LTREB,9/14/2020,14,9,2020,8ad,b,0.005,0.010
78,LTREB,9/14/2020,14,9,2020,8ad,c,0.006,0.009
79,LTREB,9/14/2020,14,9,2020,9,a,0.007,0.006
80,LTREB,9/14/2020,14,9,2020,9,b,0.007,0.006
81,LTREB,9/14/2020,14,9,2020,9,c,0.007,0.006
82,LTREB,9/14/2020,14,9,2020,9am,a,0.009,0.019
83,LTREB,9/14/2020,14,9,2020,9am,b,0.010,0.011
84,LTREB,9/14/2020,14,9,2020,9am,c,0.010,0.015
85,LTREB,9/14/2020,14,9,2020,10,a,0.007,0.029
86,LTREB,9/14/2020,14,9,2020,10,b,0.007,0.034
87,LTREB,9/14/2020,14,9,2020,10,c,0.006,0.006
88,LTREB,9/14/2020,14,9,2020,11,a,0.006,0.005
89,LTREB,9/14/2020,14,9,2020,11,b,0.008,0.005
90,LTREB,9/14/2020,14,9,2020,11,c,0.010,0.006
91,LTREB,9/14/2020,14,9,2020,11af,a,0.011,0.006
92,LTREB,9/14/2020,14,9,2020,11af,b,0.009,0.007
93,LTREB,9/14/2020,14,9,2020,11af,c,0.008,0.008
94,LTREB,9/14/2020,14,9,2020,12,a,0.008,0.004
95,LTREB,9/14/2020,14,9,2020,12,b,NA,0.004
96,LTREB,9/28/2020,28,9,2020,2,a,0.009,0.032
97,LTREB,9/28/2020,28,9,2020,2,b,0.009,0.005
98,LTREB,9/28/2020,28,9,2020,2,c,0.010,0.006
99,LTREB,9/28/2020,28,9,2020,3,a,0.008,0.004
100,LTREB,9/28/2020,28,9,2020,3,b,0.006,0.004
101,LTREB,9/28/2020,28,9,2020,3,c,0.008,0.004
102,LTREB,9/28/2020,28,9,2020,4,a,0.006,0.004
103,LTREB,9/28/2020,28,9,2020,4,b,0.006,0.004
104,LTREB,9/28/2020,28,9,2020,4,c,0.007,0.004
105,LTREB,9/28/2020,28,9,2020,5,a,0.007,0.004
106,LTREB,9/28/2020,28,9,2020,5,b,0.007,0.004
107,LTREB,9/28/2020,28,9,2020,5,c,0.006,0.005
108,LTREB,9/28/2020,28,9,2020,6,a,0.006,0.005
109,LTREB,9/28/2020,28,9,2020,6,b,0.007,0.004
110,LTREB,9/28/2020,28,9,2020,6,c,0.006,0.004
111,LTREB,9/28/2020,28,9,2020,7,a,0.008,0.004
112,LTREB,9/28/2020,28,9,2020,7,b,0.008,0.004
113,LTREB,9/28/2020,28,9,2020,7,c,0.008,0.004
114,LTREB,9/28/2020,28,9,2020,8,a,0.009,0.006
115,LTREB,9/28/2020,28,9,2020,8,b,0.008,0.006
116,LTREB,9/28/2020,28,9,2020,8,c,0.009,0.006
117,LTREB,9/28/2020,28,9,2020,8ad,b,0.007,0.010
118,LTREB,9/28/2020,28,9,2020,8ad,c,0.007,0.008
119,LTREB,9/28/2020,28,9,2020,9,a,0.004,0.006
120,LTREB,9/28/2020,28,9,2020,9,b,0.004,0.005
121,LTREB,9/28/2020,28,9,2020,9,c,0.006,0.005
122,LTREB,9/28/2020,28,9,2020,9am,a,0.008,0.011
123,LTREB,9/28/2020,28,9,2020,9am,b,0.009,0.011
124,LTREB,9/28/2020,28,9,2020,9am,c,0.010,0.017
125,LTREB,9/28/2020,28,9,2020,10,a,0.008,0.028
126,LTREB,9/28/2020,28,9,2020,10,b,-0.010,0.027
127,LTREB,9/28/2020,28,9,2020,10,c,0.004,0.006
128,LTREB,9/28/2020,28,9,2020,11,a,0.006,0.007
129,LTREB,9/28/2020,28,9,2020,11,b,0.007,0.007
130,LTREB,9/28/2020,28,9,2020,11,c,0.006,0.097
131,LTREB,9/28/2020,28,9,2020,11af,a,0.009,0.008
132,LTREB,9/28/2020,28,9,2020,11af,b,0.005,0.008
133,LTREB,9/28/2020,28,9,2020,11af,c,0.007,0.008
134,LTREB,9/28/2020,28,9,2020,12,a,0.007,0.006
135,LTREB,9/28/2020,28,9,2020,12,b,0.006,0.006
136,LTREB,9/28/2020,28,9,2020,12,c,0.005,0.006
137,LTREB,9/28/2020,28,9,2020,13,a,0.006,0.005
138,LTREB,9/28/2020,28,9,2020,13,b,0.006,0.005
139,LTREB,9/28/2020,28,9,2020,13,c,0.001,0.006
