ROW,PROJECT,DATE (DD-MMM-YYYY),DAY,MONTH,YEAR,SITE,REP,NH4N(mg/L),SRP(mg/L)
1,LTREB,8/3/2020,3,8,2020,Blank,a,0.008,0.004
2,LTREB,8/3/2020,3,8,2020,1,a,0.005,0.018
3,LTREB,8/3/2020,3,8,2020,1,b,0.008,0.013
4,LTREB,8/3/2020,3,8,2020,1,c,0.007,0.012
5,LTREB,8/3/2020,3,8,2020,2,a,0.003,0.010
6,LTREB,8/3/2020,3,8,2020,2,b,0.003,0.009
7,LTREB,8/3/2020,3,8,2020,2,c,0.003,0.014
8,LTREB,8/3/2020,3,8,2020,3,a,0.003,0.013
9,LTREB,8/3/2020,3,8,2020,3,b,0.003,0.009
10,LTREB,8/3/2020,3,8,2020,3,c,0.003,0.005
11,LTREB,8/3/2020,3,8,2020,4,a,0.003,0.010
12,LTREB,8/3/2020,3,8,2020,4,b,0.004,0.011
13,LTREB,8/3/2020,3,8,2020,4,c,0.005,0.009
14,LTREB,8/3/2020,3,8,2020,5,a,0.005,0.007
15,LTREB,8/3/2020,3,8,2020,5,b,0.003,0.010
16,LTREB,8/3/2020,3,8,2020,5,c,0.004,0.008
17,LTREB,8/3/2020,3,8,2020,6,a,0.005,0.004
18,LTREB,8/3/2020,3,8,2020,6,b,0.004,0.013
19,LTREB,8/3/2020,3,8,2020,6,c,0.003,0.003
20,LTREB,8/3/2020,3,8,2020,7,a,0.004,0.009
21,LTREB,8/3/2020,3,8,2020,7,b,0.005,0.008
22,LTREB,8/3/2020,3,8,2020,7,c,0.004,0.009
23,LTREB,8/3/2020,3,8,2020,8,a,0.004,0.008
24,LTREB,8/3/2020,3,8,2020,8,b,0.004,0.007
25,LTREB,8/3/2020,3,8,2020,8,c,0.004,0.008
26,LTREB,8/3/2020,3,8,2020,8ad,a,0.003,0.010
27,LTREB,7/6/2020,3,8,2020,8ad,b,0.003,0.011
28,LTREB,8/3/2020,3,8,2020,8ad,c,0.003,0.013
29,LTREB,8/3/2020,3,8,2020,9,a,0.003,0.009
30,LTREB,8/3/2020,3,8,2020,9,b,0.003,0.007
31,LTREB,8/3/2020,3,8,2020,9,c,0.003,0.007
32,LTREB,8/3/2020,3,8,2020,9am,a,0.003,0.013
33,LTREB,8/3/2020,3,8,2020,9am,b,0.003,0.011
34,LTREB,8/3/2020,3,8,2020,9am,c,0.003,0.014
35,LTREB,8/3/2020,3,8,2020,10,a,0.003,0.008
36,LTREB,8/3/2020,3,8,2020,10,b,0.003,0.009
37,LTREB,8/3/2020,3,8,2020,10,c,0.003,0.008
38,LTREB,8/3/2020,3,8,2020,11,a,0.002,0.007
39,LTREB,8/3/2020,3,8,2020,11,b,0.003,0.006
40,LTREB,8/3/2020,3,8,2020,11,c,0.003,0.007
41,LTREB,8/3/2020,3,8,2020,11af,a,0.006,0.010
42,LTREB,8/3/2020,3,8,2020,11af,b,0.006,0.013
43,LTREB,8/3/2020,3,8,2020,11af,c,0.006,0.013
44,LTREB,8/3/2020,3,8,2020,12,a,0.005,0.007
45,LTREB,8/3/2020,3,8,2020,12,b,0.005,0.008
46,LTREB,8/3/2020,3,8,2020,12,c,0.005,0.008
47,LTREB,8/3/2020,3,8,2020,13,a,0.005,0.005
48,LTREB,8/3/2020,3,8,2020,13,b,0.004,0.005
49,LTREB,8/3/2020,3,8,2020,13,c,0.004,0.005
50,LTREB,8/17/2020,17,8,2020,Blank,a,0.001,0.005
51,LTREB,8/17/2020,17,8,2020,1,a,0.002,0.004
52,LTREB,8/17/2020,17,8,2020,1,b,0.004,0.011
53,LTREB,8/17/2020,17,8,2020,1,c,0.003,0.009
54,LTREB,8/17/2020,17,8,2020,2,a,0.003,0.012
55,LTREB,8/17/2020,17,8,2020,2,b,0.002,0.008
56,LTREB,8/17/2020,17,8,2020,2,c,0.003,0.012
57,LTREB,8/17/2020,17,8,2020,3,a,0.002,0.007
58,LTREB,8/17/2020,17,8,2020,3,b,0.002,0.009
59,LTREB,8/17/2020,17,8,2020,3,c,0.003,0.009
60,LTREB,8/17/2020,17,8,2020,4,a,0.003,0.010
61,LTREB,8/17/2020,17,8,2020,4,b,0.003,0.010
62,LTREB,8/17/2020,17,8,2020,4,c,0.004,0.009
63,LTREB,8/17/2020,17,8,2020,5,a,0.003,0.008
64,LTREB,8/17/2020,17,8,2020,5,b,0.002,0.006
65,LTREB,8/17/2020,17,8,2020,5,c,0.003,0.005
66,LTREB,8/17/2020,17,8,2020,6,a,0.002,0.005
67,LTREB,8/17/2020,17,8,2020,6,b,0.002,0.005
68,LTREB,8/17/2020,17,8,2020,6,c,0.002,0.003
69,LTREB,8/17/2020,17,8,2020,7,a,0.003,0.004
70,LTREB,8/17/2020,17,8,2020,7,b,0.002,0.005
71,LTREB,8/17/2020,17,8,2020,7,c,0.003,0.004
72,LTREB,8/17/2020,17,8,2020,8,a,0.002,0.007
73,LTREB,8/17/2020,17,8,2020,8,b,0.003,0.006
74,LTREB,8/17/2020,17,8,2020,8,c,0.002,0.006
75,LTREB,8/17/2020,17,8,2020,8ad,a,0.003,0.013
76,LTREB,8/17/2020,17,8,2020,8ad,b,0.003,0.014
77,LTREB,8/17/2020,17,8,2020,8ad,c,0.005,0.012
78,LTREB,8/17/2020,17,8,2020,9,a,0.003,0.004
79,LTREB,8/17/2020,17,8,2020,9,b,0.002,0.005
80,LTREB,8/17/2020,17,8,2020,9,c,0.003,0.005
81,LTREB,8/17/2020,17,8,2020,9am,a,0.007,0.013
82,LTREB,8/17/2020,17,8,2020,9am,b,0.007,0.007
83,LTREB,8/17/2020,17,8,2020,9am,c,0.008,0.011
84,LTREB,8/17/2020,17,8,2020,10,a,0.004,0.006
85,LTREB,8/17/2020,17,8,2020,10,b,0.006,0.006
86,LTREB,8/17/2020,17,8,2020,10,c,0.006,0.006
87,LTREB,8/17/2020,17,8,2020,11,a,0.003,0.005
88,LTREB,8/17/2020,17,8,2020,11,b,0.003,0.005
89,LTREB,8/17/2020,17,8,2020,11,c,0.003,0.004
90,LTREB,8/17/2020,17,8,2020,11af,a,0.002,0.005
91,LTREB,8/17/2020,17,8,2020,11af,b,0.002,0.007
92,LTREB,8/17/2020,17,8,2020,11af,c,0.002,0.005
93,LTREB,8/17/2020,17,8,2020,12,a,0.003,0.005
94,LTREB,8/17/2020,17,8,2020,12,b,0.002,0.005
