ROW,PROJECT,DATE (DD-MMM-YYYY),DAY,MONTH,YEAR,SITE,REP,NH4N(mg/L),SRP(mg/L)
1,LTREB,3/9/2020,9,3,2020,Blank ,a,0.004,0.001
2,LTREB,3/9/2020,9,3,2020,1,a,0.003,0.003
3,LTREB,3/9/2020,9,3,2020,1,b,0.004,0.002
4,LTREB,3/9/2020,9,3,2020,1,c,0.006,0.002
5,LTREB,3/9/2020,9,3,2020,2,a,0.004,0.003
6,LTREB,3/9/2020,9,3,2020,2,b,0.005,0.002
7,LTREB,3/9/2020,9,3,2020,2,c,0.004,0.002
8,LTREB,3/9/2020,9,3,2020,3,a,0.004,0.002
9,LTREB,3/9/2020,9,3,2020,3,b,0.006,0.003
10,LTREB,3/9/2020,9,3,2020,3,c,0.007,0.002
11,LTREB,3/9/2020,9,3,2020,4,a,0.006,0.002
12,LTREB,3/9/2020,9,3,2020,4,b,0.007,0.003
13,LTREB,3/9/2020,9,3,2020,4,c,0.008,0.003
14,LTREB,3/9/2020,9,3,2020,5,a,0.006,0.004
15,LTREB,3/9/2020,9,3,2020,5,b,0.006,0.002
16,LTREB,3/9/2020,9,3,2020,5,c,0.007,0.002
17,LTREB,3/9/2020,9,3,2020,6,a,0.005,0.002
18,LTREB,3/9/2020,9,3,2020,6,b,0.005,0.002
19,LTREB,3/9/2020,9,3,2020,6,c,0.007,0.002
20,LTREB,3/9/2020,9,3,2020,7,a,0.005,0.005
21,LTREB,3/9/2020,9,3,2020,7,b,0.006,0.002
22,LTREB,3/9/2020,9,3,2020,7,c,0.007,0.008
23,LTREB,3/9/2020,9,3,2020,8,a,0.005,0.002
24,LTREB,3/9/2020,9,3,2020,8,b,0.005,0.003
25,LTREB,3/9/2020,9,3,2020,8,c,0.005,0.005
26,LTREB,3/9/2020,9,3,2020,8a,a,0.006,0.114
27,LTREB,3/9/2020,9,3,2020,8a,b,0.007,0.117
28,LTREB,3/9/2020,9,3,2020,8a,c,0.006,0.103
29,LTREB,3/9/2020,9,3,2020,9,a,0.005,0.036
30,LTREB,3/9/2020,9,3,2020,9,b,0.007,0.039
31,LTREB,3/9/2020,9,3,2020,9,c,0.007,0.041
32,LTREB,3/9/2020,9,3,2020,9am,a,0.008,0.057
33,LTREB,3/9/2020,9,3,2020,9am,b,0.011,0.070
34,LTREB,3/9/2020,9,3,2020,9am,c,0.013,0.055
35,LTREB,3/9/2020,9,3,2020,10,a,0.008,0.058
36,LTREB,3/9/2020,9,3,2020,10,b,0.007,0.062
37,LTREB,3/9/2020,9,3,2020,10,c,0.008,0.072
38,LTREB,3/9/2020,9,3,2020,11,a,0.005,0.047
39,LTREB,3/9/2020,9,3,2020,11,b,0.006,0.046
