ROW,PROJECT,DATE (DD-MMM-YYYY),DAY,MONTH,YEAR,SITE,REP,NH4N(mg/L),SRP(mg/L)
1,LTREB,10/12/2020,12,10,2020,1,a,0.009,0.010
2,LTREB,10/12/2020,12,10,2020,1,b,0.015,0.011
3,LTREB,10/12/2020,12,10,2020,1,c,0.025,0.009
4,LTREB,10/12/2020,12,10,2020,2,a,0.015,0.004
5,LTREB,10/12/2020,12,10,2020,2,b,0.012,0.007
6,LTREB,10/12/2020,12,10,2020,2,c,0.008,0.006
7,LTREB,10/12/2020,12,10,2020,3,a,0.005,0.004
8,LTREB,10/12/2020,12,10,2020,3,b,0.006,0.004
9,LTREB,10/12/2020,12,10,2020,3,c,0.007,0.004
10,LTREB,10/12/2020,12,10,2020,4,a,0.005,0.010
11,LTREB,10/12/2020,12,10,2020,4,b,0.005,0.008
12,LTREB,10/12/2020,12,10,2020,4,c,0.007,0.006
13,LTREB,10/12/2020,12,10,2020,5,a,0.007,0.001
14,LTREB,10/12/2020,12,10,2020,5,b,0.007,0.003
15,LTREB,10/12/2020,12,10,2020,5,c,0.006,0.003
16,LTREB,10/12/2020,12,10,2020,6,a,0.008,0.002
17,LTREB,10/12/2020,12,10,2020,6,b,0.007,0.001
18,LTREB,10/12/2020,12,10,2020,6,c,0.005,0.003
19,LTREB,10/12/2020,12,10,2020,7,a,0.007,0.008
20,LTREB,10/12/2020,12,10,2020,7,b,0.006,0.008
21,LTREB,10/12/2020,12,10,2020,7,c,0.006,0.007
22,LTREB,10/12/2020,12,10,2020,8,a,0.005,0.011
23,LTREB,10/12/2020,12,10,2020,8,b,0.004,0.008
24,LTREB,10/12/2020,12,10,2020,8,c,0.005,0.009
25,LTREB,10/12/2020,12,10,2020,8ad,a,0.003,0.008
26,LTREB,10/12/2020,12,10,2020,8ad,b,0.004,0.005
27,LTREB,10/12/2020,12,10,2020,8ad,c,0.002,0.006
28,LTREB,10/12/2020,12,10,2020,9,a,0.003,0.005
29,LTREB,10/12/2020,12,10,2020,9,b,0.004,0.008
