ROW,PROJECT,DATE (DD-MMM-YYYY),DAY,MONTH,YEAR,SITE,REP,NH4N(mg/L),SRP(mg/L)
1,LTREB,7/6/2020,6,7,2020,Blank,a,0.004,0.002
2,LTREB,7/6/2020,6,7,2020,1,a,0.004,0.012
3,LTREB,7/6/2020,6,7,2020,1,b,0.004,0.014
4,LTREB,7/6/2020,6,7,2020,1,c,0.004,0.012
5,LTREB,7/6/2020,6,7,2020,2,a,0.004,0.014
6,LTREB,7/6/2020,6,7,2020,2,b,0.005,0.012
7,LTREB,7/6/2020,6,7,2020,2,c,0.005,0.012
8,LTREB,7/6/2020,6,7,2020,3,a,0.007,0.011
9,LTREB,7/6/2020,6,7,2020,3,b,0.005,0.007
10,LTREB,7/6/2020,6,7,2020,3,c,0.005,0.006
11,LTREB,7/6/2020,6,7,2020,4,a,0.005,0.008
12,LTREB,7/6/2020,6,7,2020,4,b,0.007,0.009
13,LTREB,7/6/2020,6,7,2020,4,c,0.007,0.009
14,LTREB,7/6/2020,6,7,2020,5,a,0.007,0.009
15,LTREB,7/6/2020,6,7,2020,5,b,0.006,0.007
16,LTREB,7/6/2020,6,7,2020,5,c,0.005,0.005
17,LTREB,7/6/2020,6,7,2020,6,a,0.006,0.009
18,LTREB,7/6/2020,6,7,2020,6,b,0.008,0.008
19,LTREB,7/6/2020,6,7,2020,6,c,0.009,0.007
20,LTREB,7/6/2020,6,7,2020,7,a,0.011,0.009
21,LTREB,7/6/2020,6,7,2020,7,b,0.011,0.015
22,LTREB,7/6/2020,6,7,2020,7,c,0.010,0.011
23,LTREB,7/6/2020,6,7,2020,8,a,0.009,0.019
24,LTREB,7/6/2020,6,7,2020,8,b,0.010,0.013
25,LTREB,7/6/2020,6,7,2020,8,c,0.009,0.014
26,LTREB,7/6/2020,6,7,2020,8ad,a,0.002,0.013
27,LTREB,7/6/2020,6,7,2020,8ad,b,0.003,0.013
28,LTREB,7/6/2020,6,7,2020,8ad,c,0.002,0.012
29,LTREB,7/6/2020,6,7,2020,9,a,0.002,0.012
30,LTREB,7/6/2020,6,7,2020,9,b,0.002,0.013
31,LTREB,7/6/2020,6,7,2020,9,c,0.003,0.014
32,LTREB,7/6/2020,6,7,2020,9am,a,0.007,0.009
33,LTREB,7/6/2020,6,7,2020,9am,b,0.000,0.014
34,LTREB,7/6/2020,6,7,2020,9am,c,0.003,0.015
35,LTREB,7/6/2020,6,7,2020,10,a,0.001,0.014
36,LTREB,7/6/2020,6,7,2020,10,b,0.001,0.012
37,LTREB,7/6/2020,6,7,2020,10,c,0.004,0.011
38,LTREB,7/6/2020,6,7,2020,11,a,0.004,0.011
39,LTREB,7/6/2020,6,7,2020,11,b,0.003,0.012
40,LTREB,7/6/2020,6,7,2020,11,c,0.003,0.012
41,LTREB,7/6/2020,6,7,2020,11af,a,0.002,0.010
42,LTREB,7/6/2020,6,7,2020,11af,b,0.003,0.012
43,LTREB,7/6/2020,6,7,2020,11af,c,0.002,0.007
44,LTREB,7/6/2020,6,7,2020,12,a,0.003,0.008
45,LTREB,7/6/2020,6,7,2020,12,b,0.002,0.009
46,LTREB,7/6/2020,6,7,2020,12,c,0.003,0.009
47,LTREB,7/6/2020,6,7,2020,13,a,0.004,0.006
48,LTREB,7/6/2020,6,7,2020,13,b,0.004,0.005
49,LTREB,7/6/2020,6,7,2020,13,c,0.003,0.005
50,LTREB,7/20/2020,20,7,2020,Blank,a,0.003,0.001
51,LTREB,7/20/2020,20,7,2020,1,a,0.004,0.004
52,LTREB,7/20/2020,20,7,2020,1,b,0.003,0.004
53,LTREB,7/20/2020,20,7,2020,1,c,0.005,0.005
54,LTREB,7/20/2020,20,7,2020,2,a,0.007,0.011
55,LTREB,7/20/2020,20,7,2020,2,b,0.002,0.009
56,LTREB,7/20/2020,20,7,2020,2,c,0.002,0.008
57,LTREB,7/20/2020,20,7,2020,3,a,0.004,0.006
58,LTREB,7/20/2020,20,7,2020,3,b,0.002,0.005
59,LTREB,7/20/2020,20,7,2020,3,c,0.002,0.005
60,LTREB,7/20/2020,20,7,2020,4,a,0.003,0.004
61,LTREB,7/20/2020,20,7,2020,4,b,0.001,0.004
62,LTREB,7/20/2020,20,7,2020,4,c,0.004,0.004
63,LTREB,7/20/2020,20,7,2020,5,a,0.004,0.005
64,LTREB,7/20/2020,20,7,2020,5,b,0.003,0.004
65,LTREB,7/20/2020,20,7,2020,5,c,0.004,0.005
66,LTREB,7/20/2020,20,7,2020,6,a,0.002,0.003
67,LTREB,7/20/2020,20,7,2020,6,b,0.003,0.003
68,LTREB,7/20/2020,20,7,2020,6,c,0.006,0.004
69,LTREB,7/20/2020,20,7,2020,7,a,0.006,0.005
70,LTREB,7/20/2020,20,7,2020,7,b,0.004,0.004
71,LTREB,7/20/2020,20,7,2020,7,c,0.004,0.004
72,LTREB,7/20/2020,20,7,2020,8,a,0.002,0.003
73,LTREB,7/20/2020,20,7,2020,8,b,0.002,0.001
74,LTREB,7/20/2020,20,7,2020,8,c,0.003,0.003
75,LTREB,7/20/2020,20,7,2020,8ad,a,0.004,0.013
76,LTREB,7/20/2020,20,7,2020,8ad,b,0.004,0.009
77,LTREB,7/20/2020,20,7,2020,8ad,c,0.004,0.007
78,LTREB,7/20/2020,20,7,2020,9,a,0.003,0.005
79,LTREB,7/20/2020,20,7,2020,9,b,0.003,0.004
80,LTREB,7/20/2020,20,7,2020,9,c,0.002,0.006
81,LTREB,7/20/2020,20,7,2020,9am,a,0.007,0.014
82,LTREB,7/20/2020,20,7,2020,9am,b,0.004,0.013
83,LTREB,7/20/2020,20,7,2020,9am,c,0.004,0.012
84,LTREB,7/20/2020,20,7,2020,10,a,0.005,0.006
85,LTREB,7/20/2020,20,7,2020,10,b,0.005,0.008
86,LTREB,7/20/2020,20,7,2020,10,c,0.005,0.010
87,LTREB,7/20/2020,20,7,2020,11,a,0.005,0.006
88,LTREB,7/20/2020,20,7,2020,11,b,0.004,0.006
89,LTREB,7/20/2020,20,7,2020,11,c,0.005,0.004
90,LTREB,7/20/2020,20,7,2020,11af,a,0.004,0.008
91,LTREB,7/20/2020,20,7,2020,11af,b,0.003,0.009
92,LTREB,7/20/2020,20,7,2020,11af,c,0.003,0.009
93,LTREB,7/20/2020,20,7,2020,12,a,0.004,0.006
94,LTREB,7/20/2020,20,7,2020,12,b,0.004,0.005
95,LTREB,7/20/2020,20,7,2020,12,c,0.005,0.006
