ROW,PROJECT,DATE (DD-MMM-YYYY),DAY,MONTH,YEAR,SITE,REP,NH4N(mg/L),SRP(mg/L)
83,LTREB,12/9/2019,9,12,2019,2,b,0.005,0.010
84,LTREB,12/9/2019,9,12,2019,2,c,0.006,0.008
85,LTREB,12/9/2019,9,12,2019,3,a,0.004,0.007
86,LTREB,12/9/2019,9,12,2019,3,b,0.004,0.007
87,LTREB,12/9/2019,9,12,2019,3,c,0.006,0.009
88,LTREB,12/9/2019,9,12,2019,4,a,0.005,0.008
89,LTREB,12/9/2019,9,12,2019,4,b,0.005,0.007
90,LTREB,12/9/2019,9,12,2019,4,c,0.005,0.007
91,LTREB,12/9/2019,9,12,2019,5,a,0.004,0.007
92,LTREB,12/9/2019,9,12,2019,5,b,0.003,0.007
93,LTREB,12/9/2019,9,12,2019,5,c,0.005,0.008
94,LTREB,12/9/2019,9,12,2019,6,a,0.005,0.008
95,LTREB,12/9/2019,9,12,2019,6,b,0.006,0.009
96,LTREB,12/9/2019,9,12,2019,6,c,0.006,0.008
97,LTREB,12/9/2019,9,12,2019,7,a,0.004,0.008
98,LTREB,12/9/2019,9,12,2019,7,b,0.006,0.008
99,LTREB,12/9/2019,9,12,2019,7,c,0.006,0.007
100,LTREB,12/9/2019,9,12,2019,8,a,0.005,0.009
101,LTREB,12/9/2019,9,12,2019,8,b,0.004,0.008
102,LTREB,12/9/2019,9,12,2019,8,c,0.005,0.007
103,LTREB,12/9/2019,9,12,2019,9,a,0.006,0.008
104,LTREB,12/9/2019,9,12,2019,9,b,0.020,0.010
105,LTREB,12/9/2019,9,12,2019,9,c,0.005,0.006
106,LTREB,12/9/2019,9,12,2019,10,a,0.006,0.010
107,LTREB,12/9/2019,9,12,2019,10,b,0.007,0.011
108,LTREB,12/9/2019,9,12,2019,10,c,0.007,0.010
109,LTREB,12/9/2019,9,12,2019,11,a,0.004,0.006
110,LTREB,12/9/2019,9,12,2019,11,b,0.006,0.007
111,LTREB,12/9/2019,9,12,2019,11,c,0.005,0.008
112,LTREB,12/9/2019,9,12,2019,12,a,0.004,0.008
113,LTREB,12/9/2019,9,12,2019,12,b,0.004,0.008
114,LTREB,12/9/2019,9,12,2019,12,c,0.005,0.007
115,LTREB,12/9/2019,9,12,2019,13,a,0.005,0.008
116,LTREB,12/9/2019,9,12,2019,13,b,0.006,0.007
117,LTREB,12/9/2019,9,12,2019,13,c,0.006,0.007
118,LTREB,10/25/2019,25,10,2019,8a,a,0.007,0.009
119,LTREB,10/25/2019,25,10,2019,8a,b,0.006,0.009
120,LTREB,10/25/2019,25,10,2019,8a,c,0.006,0.012
121,LTREB,10/25/2019,25,10,2019,9am,a,0.007,0.012
122,LTREB,10/25/2019,25,10,2019,9am,b,0.005,0.010
123,LTREB,10/25/2019,25,10,2019,9am,c,0.009,0.011
124,LTREB,10/25/2019,25,10,2019,11a,a,0.005,0.010
125,LTREB,10/25/2019,25,10,2019,11a,b,0.006,0.009
126,LTREB,10/25/2019,25,10,2019,11a,c,0.010,0.009
127,LTREB,11/22/2019,22,11,2019,8a,a,0.004,0.011
128,LTREB,11/22/2019,22,11,2019,8a,b,0.006,0.010
129,LTREB,11/22/2019,22,11,2019,8a,c,0.006,0.009
130,LTREB,11/22/2019,22,11,2019,9am,a,0.009,0.010
131,LTREB,11/22/2019,22,11,2019,9am,b,0.009,0.010
132,LTREB,11/22/2019,22,11,2019,9am,c,0.012,0.012
133,LTREB,11/22/2019,22,11,2019,11a,a,0.006,0.006
134,LTREB,11/22/2019,22,11,2019,11a,b,0.008,0.009
135,LTREB,11/22/2019,22,11,2019,11a,c,0.006,0.007
136,LTREB,12/9/2019,9,12,2019,8a,a,0.007,0.008
137,LTREB,12/9/2019,9,12,2019,8a,b,0.008,0.009
138,LTREB,12/9/2019,9,12,2019,8a,c,0.008,0.009
139,LTREB,12/9/2019,9,12,2019,9am,a,0.012,0.016
140,LTREB,12/9/2019,9,12,2019,9am,b,0.011,0.013
141,LTREB,12/9/2019,9,12,2019,9am,c,0.014,0.013
142,LTREB,12/9/2019,9,12,2019,11a,a,0.006,0.006
143,LTREB,12/9/2019,9,12,2019,11a,b,0.006,0.006
144,LTREB,12/9/2019,9,12,2019,11a,c,0.006,0.006
145,LTREB,Blk 11/22/19,22,11,2019,1,a,0.006,0.006
146,LTREB,Blk 12/9/19,9,12,2019,1,a,0.011,0.004
