ROW,PROJECT,DATE (DD-MMM-YYYY),DAY,MONTH,YEAR,SITE,REP,NH4N(mg/L),SRP(mg/L)
1,LTREB,1/17/2020,17,1,2020,1,a,0.022,0.014
2,LTREB,1/17/2020,17,1,2020,1,b,0.019,0.016
3,LTREB,1/17/2020,17,1,2020,1,c,0.024,0.027
4,LTREB,1/17/2020,17,1,2020,2,a,0.011,0.011
5,LTREB,1/17/2020,17,1,2020,2,b,0.012,0.011
6,LTREB,1/17/2020,17,1,2020,2,c,0.013,0.014
7,LTREB,1/17/2020,17,1,2020,3,a,0.014,0.008
8,LTREB,1/17/2020,17,1,2020,3,b,0.014,0.010
9,LTREB,1/17/2020,17,1,2020,3,c,0.025,0.015
10,LTREB,1/17/2020,17,1,2020,4,a,0.016,0.026
11,LTREB,1/17/2020,17,1,2020,4,b,0.010,0.014
12,LTREB,1/17/2020,17,1,2020,4,c,0.017,0.014
13,LTREB,1/17/2020,17,1,2020,5,a,0.014,0.013
14,LTREB,1/17/2020,17,1,2020,5,b,0.014,0.014
15,LTREB,1/17/2020,17,1,2020,5,c,0.030,0.016
16,LTREB,1/17/2020,17,1,2020,6,a,0.010,0.010
17,LTREB,1/17/2020,17,1,2020,6,b,0.016,0.010
18,LTREB,1/17/2020,17,1,2020,6,c,0.013,0.013
19,LTREB,1/17/2020,17,1,2020,7,a,0.014,0.010
20,LTREB,1/17/2020,17,1,2020,7,b,0.012,0.007
21,LTREB,1/17/2020,17,1,2020,7,c,0.015,0.007
22,LTREB,1/17/2020,17,1,2020,8,a,0.010,0.007
23,LTREB,1/17/2020,17,1,2020,8,b,0.017,0.011
24,LTREB,1/17/2020,17,1,2020,8,c,0.021,0.015
25,LTREB,1/17/2020,17,1,2020,8a,a,0.007,0.026
26,LTREB,1/17/2020,17,1,2020,8a,b,0.018,0.024
27,LTREB,1/17/2020,17,1,2020,8a,c,0.007,0.015
28,LTREB,1/17/2020,17,1,2020,9,a,0.007,0.008
29,LTREB,1/17/2020,17,1,2020,9,b,0.019,0.011
30,LTREB,1/17/2020,17,1,2020,9,c,0.008,0.012
31,LTREB,1/17/2020,17,1,2020,9am,a,0.015,0.029
32,LTREB,1/17/2020,17,1,2020,9am,b,0.017,0.026
33,LTREB,1/17/2020,17,1,2020,9am,c,0.014,0.029
34,LTREB,1/17/2020,17,1,2020,10,a,0.010,0.014
35,LTREB,1/17/2020,17,1,2020,10,b,0.038,0.019
36,LTREB,1/17/2020,17,1,2020,10,c,0.013,0.016
37,LTREB,1/17/2020,17,1,2020,11,a,0.012,0.015
38,LTREB,1/17/2020,17,1,2020,11,b,0.034,0.015
39,LTREB,1/17/2020,17,1,2020,11,c,0.013,0.011
40,LTREB,1/17/2020,17,1,2020,11af,a,0.006,0.016
41,LTREB,1/17/2020,17,1,2020,11af,b,0.021,0.015
42,LTREB,1/17/2020,17,1,2020,11af,c,0.010,0.021
43,LTREB,1/17/2020,17,1,2020,12,a,0.006,0.013
44,LTREB,1/17/2020,17,1,2020,12,b,0.044,0.016
45,LTREB,1/17/2020,17,1,2020,12,c,0.014,0.013
46,LTREB,1/17/2020,17,1,2020,13,a,0.008,0.008
47,LTREB,1/17/2020,17,1,2020,13,b,0.025,0.011
48,LTREB,2/10/2020,10,2,2020,13,c,0.014,0.011
49,LTREB,2/10/2020,10,2,2020,1,a,0.017,0.012
50,LTREB,2/10/2020,10,2,2020,1,b,0.012,0.008
51,LTREB,2/10/2020,10,2,2020,1,c,0.011,0.006
52,LTREB,2/10/2020,10,2,2020,2,a,0.018,0.008
53,LTREB,2/10/2020,10,2,2020,2,b,0.014,0.015
54,LTREB,2/10/2020,10,2,2020,2,c,0.020,0.013
55,LTREB,2/10/2020,10,2,2020,3,a,0.010,0.010
56,LTREB,2/10/2020,10,2,2020,3,b,0.011,0.010
57,LTREB,2/10/2020,10,2,2020,3,c,0.014,0.008
58,LTREB,2/10/2020,10,2,2020,4,a,0.014,0.007
59,LTREB,2/10/2020,10,2,2020,4,b,0.011,0.008
60,LTREB,2/10/2020,10,2,2020,4,c,0.016,0.010
61,LTREB,2/10/2020,10,2,2020,5,a,0.014,0.011
62,LTREB,2/10/2020,10,2,2020,5,b,0.013,0.007
